Name	Gen1.9	Gen2.8	Gen3.9zbl	PBED2	ReaxFF2014	ReaxFIW	ReaxFFLG	ReaxFF2018	Exp
CH2O	-24.29130391	-66.82675039	-12.97528105	-26.04070386	-48.7027793	-19.51751738	-26.0220793	-55.01297109	-27.69
HCO2	-43.95950391	-77.99065039	-36.67933105	-20.31648234	-69.4421793	-44.75401738	-40.6136293	-81.71117109	-29
HON	57.11425	26.58285	63.74825	64.15736435	47.05895	38.1199	37.73125	41.47845	23.82
HONO	-34.12265	-21.58775	-41.14995	-24.17808253	11.9343	-16.2902	-25.3598	3.92055	-18.87
HOCN	-3.792553906	-17.29960039	7.064568945	-7.949960536	-51.4953793	-18.93111738	-17.1358793	-61.90152109	-3.53728
HNCO	-36.01495391	-67.73040039	-25.58423105	-34.66885163	-36.7975793	-16.85501738	-23.5870793	-57.95882109	-24.3
HNC	56.29094609	42.81239961	43.86666895	49.03709503	63.8682707	60.23418262	69.8526707	41.61467891	46.445985
HCNO	40.72544609	12.41919961	39.02206895	23.87532499	58.0080207	37.77938262	32.0275207	40.58837891	40.49952
HCN	46.44594609	22.27899961	47.84536895	31.71344122	3.673470703	39.30518262	46.4787707	-4.800321094	32.29924
HNO3	-73.00945	-8.03835	-39.36055	-38.28811617	-1.61945	2.0304	-65.70595	19.27165	-32.2
H2O	-54.9413	-115.4759	-50.0359	-60.00745042	-66.20825	-62.6368	-55.48625	-60.0181	-57.78
CO	-12.89140391	-20.21905039	-12.05838105	-14.2479586	-1.575679297	2.698292617	4.843620703	-8.564771094	-26.417304
CO2	-98.34230391	-100.0802504	-84.29678105	-78.3499356	-94.0491293	-78.30301738	-77.1325293	-105.5238711	-93.91
NO2	-31.99255	-16.83685	-0.9578	-4.664662609	46.19885	-8.154	-61.041	35.03705	7.91109
NH3	-9.92405	-110.04085	-16.94915	-13.21728908	-57.0729	-20.5545	-10.499	-69.80125	-10.99
N2	-240.2647	-222.6159	-237.2646	-239.4971329	-233.4103	-222.747	-222.752	-216.2681	-226
H2	-108.348	-116.1177	-113.6925	-101.6346517	-109.5665	-104.52	-111.7204	-103.1808	-104
O2	-147.7774	-138.7278	-141.012	-139.232148	-118.7449	-116.4894	-116.5341	-108.8826	-119
